Publication,Location,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,Comments
Northwest Indiana Times,"Munster, IN",Reagan,Mondale,Bush,Bush,Dole,Bush,Kerry,McCain,Romney,None,
Oklahoman,"Oklahoma City, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,"Oklahoman Endorsement of Republican Congressional Candidates, No Presidential Candidate Endorsement (2016)"
Omaha World-Herald,"Omaha, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Orange County Register,"Santa Ana, CA",None,None,None,None,None,None,None,None,None,None,Orange Country Register Editorial with Recommendation Bush Not Run for Reelection (Not True “Anti-Endorsement”) 
Oregonian,"Portland, OR",Reagan,Reagan,Bush,Clinton,Clinton,Bush,Kerry,Obama,None,None,
Orlando Sentinel,"Orlando, FL",None,Reagan,Bush,Bush,Dole,Bush,Kerry,Obama,Romney,Clinton,
Palm Beach Post,"Palm Beach, FL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,
Philadelphia Daily News,"Philadelphia, PA",,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,,
Philadelphia Inquirer,"Philadelphia, PA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Pittsburgh Post-Gazette,"Pittsburgh, PA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,None,
Pittsburgh Tribune-Review,"Pittsburgh, PA",,,,,,Bush,Bush,McCain,Romney,,
Providence Journal,"Providence, RI",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,Obama,Obama,Clinton,
Raleigh News & Observer,"Raleigh, NC",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Richmond Times-Dispatch,"Richmond, VA",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Johnson,
Riverside Press-Enterprise,"Riverside, CA",Unknown,Mondale,Dukakis,Clinton,Clinton,Bush,Bush,McCain,Romney,Unknown,
Rochester Democrat & Chronicle,"Rochester, NY",None,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Rochester Democrat & Chronicle and Rochester Times-Union Joint Endorsement (1988)
Sacramento Bee,"Sacramento, CA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Salt Lake Tribune,"Salt Lake City, UT",None,None,None,None,None,None,Bush,Obama,Obama,Clinton,
San Antonio Express-News,"San Antonio, TX",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Obama,Clinton,
San Diego Union Tribune,"San Diego, CA",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,San Diego Union Endorsement/San Diego Tribune Endorsement (1980-1988)
San Francisco Chronicle,"San Francisco, CA",Reagan,Reagan,Bush,Bush,Clinton,Gore,Kerry,Obama,Obama,Clinton,
San Jose Mercury News,"San Jose, CA",Anderson,None,None,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Sarasota Herald-Tribune,"Sarasota, FL",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,
Seattle Post-Intelligencer,"Seattle, WA",Anderson,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,,,
Seattle Times,"Seattle, WA",Reagan,Reagan,Dukakis,Clinton,Clinton,Bush,Kerry,Obama,Obama,Clinton,
South Florida Sun-Sentinel,"Fort Lauderdale, FL",Reagan,Reagan,Bush,Bush,Clinton,Gore,Kerry,Obama,Romney,Clinton,
Spokane Spokesman-Review,"Spokane, WA",Reagan,Reagan,Bush,Clinton,Dole,Bush,Bush,McCain,Romney,Clinton,
St. Louis Post-Dispatch,"St. Louis, IL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
St. Paul Pioneer Press,"St. Paul, MN",None,Mondale,None,Clinton,Clinton,Bush,Bush,None,None,Unknown,
State (Columbia),"Columbia, SC",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,None,Clinton,
Syracuse Post-Standard,"Syracuse, NY",Reagan/Unknown,Reagan,Bush,Perot,Clinton,Bush,None,Obama,None,Clinton,Syracuse Media Group Endorsement (2016)
Tacoma News Tribune,"Tacoma, WA",Reagan,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Tampa Bay Times,"St. Petersburg, FL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,St. Petersburg Times Endorsement (1980-2008)
Tampa Tribune,"Tampa, FL",Reagan,Reagan,Bush,Bush,Dole,Bush,None,McCain,Romney,,
Tennessean,"Nashville, TN",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Romney,None,
Toledo Blade,"Toledo, OH",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,None,
Tulsa World,"Tulsa, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,
USA Today,USA,None,None,None,None,None,None,None,None,None,Not Trump,
Wall Street Journal,"New York City, NY",None,None,None,None,None,None,None,None,None,Unknown,
Washington Post,"Washington, DC",Carter,Mondale,None,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Washington Post Anti-Endorsement of Trump (2016)
Wichita Eagle,"Wichita, KS",Reagan,Reagan,Dukakis,Clinton,Dole,Bush,Bush,None,None,Unknown,
Wilmington News Journal,"Wilmington, OH",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Wilmington News Journal Endorsement in Joint Sunday News Journal (1984-1988)
Wisconsin State Journal,"Madison, WI",Reagan,Reagan,Bush,Clinton,Dole,Bush,Bush,Obama,Romney,Clinton,
